repo,chapter,figure_id,language,file_path,extension,chunk_types,plot_family,commit,local_status
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CanESM2_r1i1p1_rcp26.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CanESM2_r1i1p1_rcp45.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CanESM2_r1i1p1_rcp85.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CCSM4_r1i1p1_historical.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CCSM4_r1i1p1_rcp26.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CCSM4_r1i1p1_rcp45.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CCSM4_r1i1p1_rcp85.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CESM1-BGC_r1i1p1_historical.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CESM1-BGC_r1i1p1_rcp45.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CESM1-BGC_r1i1p1_rcp85.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CMCC-CM_r1i1p1_historical.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CMCC-CM_r1i1p1_rcp45.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CMCC-CM_r1i1p1_rcp85.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CMCC-CMS_r1i1p1_historical.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CMCC-CMS_r1i1p1_rcp45.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CMCC-CMS_r1i1p1_rcp85.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CNRM-CM5_r1i1p1_historical.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CNRM-CM5_r1i1p1_rcp26.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CNRM-CM5_r1i1p1_rcp45.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CNRM-CM5_r1i1p1_rcp85.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CSIRO-Mk3-6-0_r1i1p1_historical.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CSIRO-Mk3-6-0_r1i1p1_rcp26.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CSIRO-Mk3-6-0_r1i1p1_rcp45.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_CSIRO-Mk3-6-0_r1i1p1_rcp85.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_EC-EARTH_r12i1p1_historical.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
Atlas,,,Jupyter Notebook,Atlas\datasets-aggregated-regionally\data\CMIP5\CMIP5_pr_land\CMIP5_EC-EARTH_r12i1p1_rcp26.csv,.csv,data_dependency,,ed29da33d38ae767d19caafd4cde06042cbe00f4,cloned
